"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
"39"	"39"	"CCDS1167.1"	"FCRL3"	"chr1"	"Fc receptor-like 3"	6	1.67e-05	0.0059	0.0305	0
"40"	"40"	"CCDS10547.1"	"PRM1"	"chr16"	"protamine 1"	7	1.67e-05	0.0059	0.0769	0
"41"	"41"	"CCDS4978.1"	"C6orf150"	"chr6"	"chromosome 6 open reading frame 150"	4	1.67e-05	0.0059	0.0343	0
"42"	"42"	"CCDS34929.1"	"C8orf47"	"chr8"	"chromosome 8 open reading frame 47"	7	1.67e-05	0.0059	0.09	0
"43"	"43"	"CCDS5608.1"	"ABCB1"	"chr7"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	7	2.04e-05	0.00673	0.0879	0
"44"	"44"	"CCDS1015.1"	"LCE3C"	"chr1"	"late cornified envelope 3C"	6	2.04e-05	0.00673	0.448	0
"45"	"45"	"CCDS2531.1"	"NDUFA10"	"chr2"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa"	6	2.04e-05	0.00673	0.43	0
"46"	"46"	"CCDS5201.1"	"LTV1"	"chr6"	"LTV1 homolog (S. cerevisiae)"	7	2.49e-05	0.00787	0.144	0
"47"	"47"	"CCDS3016.1"	"PARP15"	"chr3"	"poly (ADP-ribose) polymerase family, member 15"	7	2.49e-05	0.00787	0.155	0
"48"	"48"	"CCDS33457.1"	"DEFB124"	"chr20"	"defensin, beta 124"	7	2.75e-05	0.00851	0.262	0
"49"	"49"	"CCDS8645.1"	"BCL2L14"	"chr12"	"BCL2-like 14 (apoptosis facilitator)"	7	3.04e-05	0.00922	0.118	1
"50"	"50"	"CCDS3965.1"	"GZMA"	"chr5"	"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"	6	3.36e-05	0.00979	0.0356	0
"51"	"51"	"CCDS35203.1"	"FAM9C"	"chrX"	"family with sequence similarity 9, member C"	5	3.36e-05	0.00979	NA	0
"52"	"52"	"CCDS9601.1"	"MYH7"	"chr14"	"myosin, heavy chain 7, cardiac muscle, beta"	7	3.72e-05	0.0106	0.144	0
"53"	"53"	"CCDS33925.1"	"APOD"	"chr3"	"apolipoprotein D"	5	4.11e-05	0.0113	0	1
"54"	"54"	"CCDS9560.1"	"RNASE3"	"chr14"	"ribonuclease, RNase A family, 3 (eosinophil cationic protein)"	3	4.11e-05	0.0113	0.0105	0
"55"	"55"	"CCDS9597.1"	"IL25"	"chr14"	"interleukin 25"	6	4.54e-05	0.0122	0.144	0
"56"	"56"	"CCDS30865.1"	"SPRR2B"	"chr1"	"small proline-rich protein 2B"	6	6.13e-05	0.0162	0	0
"57"	"57"	"CCDS34453.1"	"C6orf153"	"chr6"	"chromosome 6 open reading frame 153"	6	6.77e-05	0.017	0	0
"58"	"58"	"CCDS42828.1"	"COL4A4"	"chr2"	"collagen, type IV, alpha 4"	4	6.77e-05	0.017	0.181	0
"59"	"59"	"CCDS33592.1"	"PCNT"	"chr21"	"pericentrin"	5	6.77e-05	0.017	0.122	0
"60"	"60"	"CCDS1010.1"	"CRNN"	"chr1"	"cornulin"	4	7.49e-05	0.0182	0.0516	0
"61"	"61"	"CCDS4752.1"	"HLA-DQA1"	"chr6"	"major histocompatibility complex, class II, DQ alpha 1"	4	7.49e-05	0.0182	0.124	0
"62"	"62"	"CCDS7988.1"	"MS4A12"	"chr11"	"membrane-spanning 4-domains, subfamily A, member 12"	4	8.27e-05	0.0183	0.0943	0
"63"	"63"	"CCDS11020.1"	"OR1G1"	"chr17"	"olfactory receptor, family 1, subfamily G, member 1"	3	8.27e-05	0.0183	0.112	0
"64"	"64"	"CCDS42128.1"	"GP2"	"chr16"	"glycoprotein 2 (zymogen granule membrane)"	5	8.27e-05	0.0183	0.0294	0
"65"	"65"	"CCDS10652.1"	"C16orf54"	"chr16"	"chromosome 16 open reading frame 54"	3	8.27e-05	0.0183	0.0219	1
"66"	"66"	"CCDS8999.1"	"TSPAN8"	"chr12"	"tetraspanin 8"	5	8.27e-05	0.0183	0	1
"67"	"67"	"CCDS42666.1"	"C2orf16"	"chr2"	"chromosome 2 open reading frame 16"	4	8.27e-05	0.0183	0.295	0
"68"	"68"	"CCDS12315.1"	"EMR3"	"chr19"	"egf-like module containing, mucin-like, hormone receptor-like 3"	7	9.14e-05	0.0194	0	0
"69"	"69"	"CCDS13593.1"	"KRTAP15-1"	"chr21"	"keratin associated protein 15-1"	3	9.14e-05	0.0194	0.193	0
"70"	"70"	"CCDS33267.1"	"SULT1C3"	"chr2"	"sulfotransferase family, cytosolic, 1C, member 3"	6	9.14e-05	0.0194	0.147	0
"71"	"71"	"CCDS10936.1"	"HSD17B2"	"chr16"	"hydroxysteroid (17-beta) dehydrogenase 2"	7	0.000101	0.0208	0.0081	0
"72"	"72"	"CCDS12188.1"	"EVI5L"	"chr19"	"ecotropic viral integration site 5-like"	6	0.000101	0.0208	0.0425	0
"73"	"73"	"CCDS3015.1"	"DTX3L"	"chr3"	"deltex 3-like (Drosophila)"	4	0.000112	0.0224	0.0925	0
"74"	"74"	"CCDS31905.1"	"OAS1"	"chr12"	"2',5'-oligoadenylate synthetase 1, 40/46kDa"	5	0.000112	0.0224	0.0977	0
"75"	"75"	"CCDS201.1"	"PLA2G2A"	"chr1"	"phospholipase A2, group IIA (platelets, synovial fluid)"	6	0.000136	0.0266	0	1
"76"	"76"	"CCDS1175.1"	"CD1C"	"chr1"	"CD1c molecule"	6	0.000136	0.0266	0.166	0
"77"	"77"	"CCDS1210.1"	"CD244"	"chr1"	"CD244 molecule, natural killer cell receptor 2B4"	7	0.000151	0.0287	0.0357	0
"78"	"78"	"CCDS13716.1"	"ITGB2"	"chr21"	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	7	0.000151	0.0287	0.00939	0
"79"	"79"	"CCDS10093.1"	"EPB42"	"chr15"	"erythrocyte membrane protein band 4.2"	7	0.000167	0.0298	0.0081	0
"80"	"80"	"CCDS7583.1"	"C10orf81"	"chr10"	"chromosome 10 open reading frame 81"	7	0.000167	0.0298	0.127	0
"81"	"81"	"CCDS42964.1"	"KRTAP12-3"	"chr21"	"keratin associated protein 12-3"	3	0.000167	0.0298	0.0213	0
"82"	"82"	"CCDS5851.1"	"ZC3HAV1"	"chr7"	"zinc finger CCCH-type, antiviral 1"	7	0.000167	0.0298	0.315	0
"83"	"83"	"CCDS9632.1"	"GZMH"	"chr14"	"granzyme H (cathepsin G-like 2, protein h-CCPX)"	5	0.000167	0.0298	0.131	0
"84"	"84"	"CCDS10271.1"	"SCAMP2"	"chr15"	"secretory carrier membrane protein 2"	7	0.000203	0.0359	0.0941	0
"85"	"85"	"CCDS12284.1"	"DNASE2"	"chr19"	"deoxyribonuclease II, lysosomal"	6	0.000225	0.0393	0.068	0
"86"	"86"	"CCDS32720.1"	"CD300A"	"chr17"	"CD300a molecule"	7	0.000249	0.0424	0.305	0
"87"	"87"	"CCDS6090.1"	"C8orf41"	"chr8"	"chromosome 8 open reading frame 41"	7	0.000249	0.0424	0	0
"88"	"88"	"CCDS8932.1"	"LRP1"	"chr12"	"low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)"	7	0.000275	0.0448	0.0267	0
"89"	"89"	"CCDS1205.1"	"SLAMF6"	"chr1"	"SLAM family member 6"	7	0.000275	0.0448	0	0
"90"	"90"	"CCDS43011.1"	"RFPL3"	"chr22"	"ret finger protein-like 3"	6	0.000275	0.0448	0	0
"91"	"91"	"CCDS6823.1"	"CDK5RAP2"	"chr9"	"CDK5 regulatory subunit associated protein 2"	6	0.000275	0.0448	0	0
"92"	"92"	"CCDS14222.1"	"MAGEB1"	"chrX"	"melanoma antigen family B, 1"	6	0.000304	0.049	NA	0
"93"	"93"	"CCDS11701.1"	"CD300C"	"chr17"	"CD300c molecule"	5	0.000335	0.053	0.246	0
"94"	"94"	"CCDS6391.1"	"GML"	"chr8"	"glycosylphosphatidylinositol anchored molecule like protein"	6	0.000335	0.053	0.0648	0
"95"	"95"	"CCDS11737.1"	"EVPL"	"chr17"	"envoplakin"	7	0.000371	0.0573	0.165	0
"96"	"96"	"CCDS31898.1"	"ACACB"	"chr12"	"acetyl-Coenzyme A carboxylase beta"	6	0.000371	0.0573	0.0559	0
"97"	"97"	"CCDS32320.1"	"AKAP13"	"chr15"	"A kinase (PRKA) anchor protein 13"	7	0.00041	0.0602	0	0
"98"	"98"	"CCDS12825.1"	"SIGLEC9"	"chr19"	"sialic acid binding Ig-like lectin 9"	6	0.00041	0.0602	0.252	0
"99"	"99"	"CCDS42424.1"	"C18orf34"	"chr18"	"chromosome 18 open reading frame 34"	4	0.00041	0.0602	0	0
"100"	"100"	"CCDS7393.1"	"FAS"	"chr10"	"Fas (TNF receptor superfamily, member 6)"	6	0.00041	0.0602	0.204	0
"101"	"101"	"CCDS2872.1"	"CACNA1D"	"chr3"	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	6	0.00041	0.0602	0.0904	0
"102"	"102"	"CCDS14242.1"	"CYBB"	"chrX"	"cytochrome b-245, beta polypeptide"	7	0.000453	0.0634	NA	1
"103"	"103"	"CCDS8608.1"	"CLEC12A"	"chr12"	"C-type lectin domain family 12, member A"	5	0.000453	0.0634	0.0365	0
"104"	"104"	"CCDS4157.1"	"IL13"	"chr5"	"interleukin 13"	7	0.000453	0.0634	0.104	0
"105"	"105"	"CCDS6035.1"	"TNFRSF10B"	"chr8"	"tumor necrosis factor receptor superfamily, member 10b"	5	0.000453	0.0634	0.0702	0
"106"	"106"	"CCDS11730.1"	"UNC13D"	"chr17"	"unc-13 homolog D (C. elegans)"	7	0.000453	0.0634	0.0874	0
"107"	"107"	"CCDS6542.1"	"AQP3"	"chr9"	"aquaporin 3 (Gill blood group)"	7	5e-04	0.0675	0	0
"108"	"108"	"CCDS31567.1"	"MS4A3"	"chr11"	"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"	7	5e-04	0.0675	0	0
"109"	"109"	"CCDS1786.1"	"EIF2AK2"	"chr2"	"eukaryotic translation initiation factor 2-alpha kinase 2"	4	5e-04	0.0675	0	0
"110"	"110"	"CCDS14541.1"	"COL4A6"	"chrX"	"collagen, type IV, alpha 6"	6	5e-04	0.0675	NA	0
"111"	"111"	"CCDS32487.1"	"MLKL"	"chr16"	"mixed lineage kinase domain-like"	6	0.000553	0.0708	0.0678	0
"112"	"112"	"CCDS43523.1"	"LPA"	"chr6"	"lipoprotein, Lp(a)"	4	0.000553	0.0708	0	0
"113"	"113"	"CCDS2999.1"	"NDUFB4"	"chr3"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa"	4	0.000553	0.0708	0	0
"114"	"114"	"CCDS3025.1"	"CCDC14"	"chr3"	"coiled-coil domain containing 14"	6	0.000553	0.0708	0.0535	0
"115"	"115"	"CCDS5909.1"	"TMEM176A"	"chr7"	"transmembrane protein 176A"	6	0.000553	0.0708	0.0955	0
"116"	"116"	"CCDS13985.1"	"APOBEC3H"	"chr22"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H"	6	0.000553	0.0708	0.153	0
"117"	"117"	"CCDS4776.1"	"DAXX"	"chr6"	"death-domain associated protein"	6	0.000611	0.0769	0.0666	0
"118"	"118"	"CCDS6110.1"	"HTRA4"	"chr8"	"HtrA serine peptidase 4"	6	0.000611	0.0769	0	0
"119"	"119"	"CCDS33737.1"	"SCN11A"	"chr3"	"sodium channel, voltage-gated, type XI, alpha subunit"	6	0.000676	0.0822	0.0081	0
"120"	"120"	"CCDS31388.1"	"TRIM6-TRIM34"	"chr11"	"TRIM6-TRIM34 readthrough transcript"	6	0.000676	0.0822	0.0197	0
"121"	"121"	"CCDS12958.1"	"ZSCAN4"	"chr19"	"zinc finger and SCAN domain containing 4"	6	0.000676	0.0822	0.0235	0
"122"	"122"	"CCDS8328.1"	"CASP5"	"chr11"	"caspase 5, apoptosis-related cysteine peptidase"	5	0.000676	0.0822	0.116	0
"123"	"123"	"CCDS8481.1"	"BARX2"	"chr11"	"BARX homeobox 2"	7	0.000747	0.0879	0	0
"124"	"124"	"CCDS11749.1"	"SFRS2"	"chr17"	"splicing factor, arginine/serine-rich 2"	4	0.000747	0.0879	0.247	0
"125"	"125"	"CCDS12834.2"	"SIGLEC6"	"chr19"	"sialic acid binding Ig-like lectin 6"	3	0.000747	0.0879	0.0306	1
"126"	"126"	"CCDS12463.1"	"DMKN"	"chr19"	"dermokine"	5	0.000747	0.0879	0.0178	0
"127"	"127"	"CCDS42829.1"	"COL4A3"	"chr2"	"collagen, type IV, alpha 3 (Goodpasture antigen)"	3	0.000825	0.0887	0.0352	0
"128"	"128"	"CCDS13621.1"	"IFNAR2"	"chr21"	"interferon (alpha, beta and omega) receptor 2"	6	0.000825	0.0887	0.0568	0
"129"	"129"	"CCDS13255.1"	"CEP250"	"chr20"	"centrosomal protein 250kDa"	6	0.000825	0.0887	0.043	0
"130"	"130"	"CCDS31006.1"	"CD55"	"chr1"	"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"	5	0.000825	0.0887	0.213	0
"131"	"131"	"CCDS3533.1"	"STATH"	"chr4"	"statherin"	6	0.000825	0.0887	0	0
"132"	"132"	"CCDS32454.1"	"MT1A"	"chr16"	"metallothionein 1A"	4	0.000825	0.0887	0.149	0
"133"	"133"	"CCDS12609.1"	"CEACAM1"	"chr19"	"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)"	5	0.000825	0.0887	0.149	0
"134"	"134"	"CCDS5785.1"	"TAS2R16"	"chr7"	"taste receptor, type 2, member 16"	7	0.000825	0.0887	0.111	0
"135"	"135"	"CCDS13117.1"	"ESF1"	"chr20"	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"	4	0.000825	0.0887	0.103	0
"136"	"136"	"CCDS12888.1"	"LILRA5"	"chr19"	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"	6	0.000825	0.0887	0.0923	0
"137"	"137"	"CCDS42246.1"	"NLRP1"	"chr17"	"NLR family, pyrin domain containing 1"	5	0.000825	0.0887	0	0
"138"	"138"	"CCDS31683.1"	"CEP164"	"chr11"	"centrosomal protein 164kDa"	7	0.000825	0.0887	0.0796	0
"139"	"139"	"CCDS33494.1"	"C20orf107"	"chr20"	"chromosome 20 open reading frame 107"	6	0.000912	0.094	0.122	0
"140"	"140"	"CCDS31697.1"	"PMP22CD"	"chr11"	"PMP22 claudin domain-containing protein"	7	0.000912	0.094	0.107	0
"141"	"141"	"CCDS41932.1"	"REC8"	"chr14"	"REC8 homolog (yeast)"	3	0.000912	0.094	0.0461	0
"142"	"142"	"CCDS33438.1"	"C20orf30"	"chr20"	"chromosome 20 open reading frame 30"	6	0.000912	0.094	0.185	0
"143"	"143"	"CCDS41237.1"	"MEGF6"	"chr1"	"multiple EGF-like-domains 6"	4	0.000912	0.094	0.0485	0
"144"	"144"	"CCDS31357.1"	"OR51D1"	"chr11"	"olfactory receptor, family 51, subfamily D, member 1"	4	0.000912	0.094	0.111	0
"145"	"145"	"CCDS32619.1"	"SLFN5"	"chr17"	"schlafen family member 5"	7	0.00101	0.0953	0.0348	0
"146"	"146"	"CCDS10329.2"	"ZSCAN2"	"chr15"	"zinc finger and SCAN domain containing 2"	4	0.00101	0.0953	0.0368	0
"147"	"147"	"CCDS3279.1"	"FETUB"	"chr3"	"fetuin B"	6	0.00101	0.0953	0.0647	0
"148"	"148"	"CCDS42604.1"	"SIGLEC14"	"chr19"	"sialic acid binding Ig-like lectin 14"	5	0.00101	0.0953	0.121	0
"149"	"149"	"CCDS1258.1"	"GPA33"	"chr1"	"glycoprotein A33 (transmembrane)"	6	0.00101	0.0953	0.111	0
"150"	"150"	"CCDS33493.1"	"C20orf106"	"chr20"	"chromosome 20 open reading frame 106"	5	0.00101	0.0953	0.122	0
"151"	"151"	"CCDS50.1"	"CCDC27"	"chr1"	"coiled-coil domain containing 27"	3	0.00101	0.0953	0.118	0
"152"	"152"	"CCDS3540.1"	"SMR3B"	"chr4"	"submaxillary gland androgen regulated protein 3B"	6	0.00101	0.0953	0.0242	0
"153"	"153"	"CCDS11958.1"	"RAB27B"	"chr18"	"RAB27B, member RAS oncogene family"	7	0.00101	0.0953	0.0683	0
"154"	"154"	"CCDS5963.1"	"DEFA5"	"chr8"	"defensin, alpha 5, Paneth cell-specific"	4	0.00101	0.0953	NA	0
"155"	"155"	"CCDS11195.2"	"SMCR8"	"chr17"	"Smith-Magenis syndrome chromosome region, candidate 8"	6	0.00101	0.0953	0.0361	0
"156"	"156"	"CCDS4729.1"	"CFB"	"chr6"	"complement factor B"	6	0.00101	0.0953	0.0591	0
"157"	"157"	"CCDS2666.1"	"GOLGA4"	"chr3"	"golgi autoantigen, golgin subfamily a, 4"	3	0.00101	0.0953	0.266	1
"158"	"158"	"CCDS5959.1"	"DEFB1"	"chr8"	"defensin, beta 1"	7	0.00111	0.104	0.0546	1
"159"	"159"	"CCDS1032.1"	"SPRR1A"	"chr1"	"small proline-rich protein 1A"	6	0.00111	0.104	0	0
"160"	"160"	"CCDS30911.1"	"CRP"	"chr1"	"C-reactive protein, pentraxin-related"	6	0.00123	0.112	0	0
"161"	"161"	"CCDS10463.1"	"C16orf79"	"chr16"	"chromosome 16 open reading frame 79"	7	0.00123	0.112	0.028	0
"162"	"162"	"CCDS12839.1"	"FPR1"	"chr19"	"formyl peptide receptor 1"	5	0.00123	0.112	0.0646	0
"163"	"163"	"CCDS1340.1"	"XPR1"	"chr1"	"xenotropic and polytropic retrovirus receptor"	7	0.00123	0.112	0.0498	0
"164"	"164"	"CCDS13887.1"	"SMTN"	"chr22"	"smoothelin"	7	0.00136	0.122	0.0199	0
"165"	"165"	"CCDS3913.1"	"UGT3A1"	"chr5"	"UDP glycosyltransferase 3 family, polypeptide A1"	7	0.00136	0.122	0	0
"166"	"166"	"CCDS13627.1"	"GART"	"chr21"	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"	7	0.0015	0.123	0	0
"167"	"167"	"CCDS1264.1"	"MPZL1"	"chr1"	"myelin protein zero-like 1"	7	0.0015	0.123	0	0
"168"	"168"	"CCDS8020.1"	"SCGB1A1"	"chr11"	"secretoglobin, family 1A, member 1 (uteroglobin)"	7	0.0015	0.123	0	0
"169"	"169"	"CCDS3555.1"	"ALB"	"chr4"	"albumin"	7	0.0015	0.123	0	0
"170"	"170"	"CCDS2547.1"	"HDLBP"	"chr2"	"high density lipoprotein binding protein"	7	0.0015	0.123	0.0772	0
"171"	"171"	"CCDS33235.1"	"PTCD3"	"chr2"	"Pentatricopeptide repeat domain 3"	6	0.0015	0.123	0.0822	0
"172"	"172"	"CCDS42456.1"	"PTBP1"	"chr19"	"polypyrimidine tract binding protein 1"	7	0.0015	0.123	0.152	0
"173"	"173"	"CCDS1168.1"	"FCRL2"	"chr1"	"Fc receptor-like 2"	6	0.0015	0.123	0.0305	0
"174"	"174"	"CCDS8320.1"	"MMP8"	"chr11"	"matrix metallopeptidase 8 (neutrophil collagenase)"	7	0.0015	0.123	0.132	0
"175"	"175"	"CCDS6723.1"	"CTSL2"	"chr9"	"cathepsin L2"	6	0.0015	0.123	0.0535	0
"176"	"176"	"CCDS6574.1"	"FANCG"	"chr9"	"Fanconi anemia, complementation group G"	7	0.0015	0.123	0.0469	0
"177"	"177"	"CCDS6485.1"	"ADAMTSL1"	"chr9"	"ADAMTS-like 1"	7	0.0015	0.123	0.183	0
"178"	"178"	"CCDS14085.1"	"PANX2"	"chr22"	"pannexin 2"	6	0.0015	0.123	0.129	0
"179"	"179"	"CCDS1364.1"	"FAM129A"	"chr1"	"family with sequence similarity 129, member A"	7	0.0015	0.123	0	0
"180"	"180"	"CCDS33839.1"	"MUC13"	"chr3"	"mucin 13, cell surface associated"	4	0.0015	0.123	0.0411	0
"181"	"181"	"CCDS12710.1"	"PLA2G4C"	"chr19"	"phospholipase A2, group IVC (cytosolic, calcium-independent)"	6	0.0015	0.123	0.0989	0
"182"	"182"	"CCDS12275.1"	"MORG1"	"chr19"	"mitogen-activated protein kinase organizer 1"	5	0.00166	0.133	0.224	0
"183"	"183"	"CCDS11704.1"	"CD300LF"	"chr17"	"CD300 molecule-like family member f"	7	0.00166	0.133	0.0123	0
"184"	"184"	"CCDS4931.1"	"CRISP1"	"chr6"	"cysteine-rich secretory protein 1"	7	0.00166	0.133	0.146	1
"185"	"185"	"CCDS7041.1"	"C9orf167"	"chr9"	"chromosome 9 open reading frame 167"	4	0.00166	0.133	0.0181	0
"186"	"186"	"CCDS33215.1"	"GKN2"	"chr2"	"gastrokine 2"	7	0.00184	0.143	0.297	0
"187"	"187"	"CCDS4181.1"	"CATSPER3"	"chr5"	"cation channel, sperm associated 3"	7	0.00184	0.143	0.217	0
"188"	"188"	"CCDS5639.1"	"PON3"	"chr7"	"paraoxonase 3"	7	0.00184	0.143	0.204	0
"189"	"189"	"CCDS8017.1"	"SCGB1D2"	"chr11"	"secretoglobin, family 1D, member 2"	3	0.00184	0.143	0.0501	0
"190"	"190"	"CCDS738.1"	"GLMN"	"chr1"	"glomulin, FKBP associated protein"	5	0.00184	0.143	0	0
"191"	"191"	"CCDS3196.1"	"SI"	"chr3"	"sucrase-isomaltase (alpha-glucosidase)"	5	0.00203	0.153	0	0
"192"	"192"	"CCDS32447.1"	"RPGRIP1L"	"chr16"	"RPGRIP1-like"	7	0.00203	0.153	0	0
"193"	"193"	"CCDS31243.1"	"IFIT1"	"chr10"	"interferon-induced protein with tetratricopeptide repeats 1"	6	0.00203	0.153	0.122	0
"194"	"194"	"CCDS13040.1"	"GNRH2"	"chr20"	"gonadotropin-releasing hormone 2"	4	0.00203	0.153	0.000975	0
"195"	"195"	"CCDS5866.1"	"SSBP1"	"chr7"	"single-stranded DNA binding protein 1"	6	0.00203	0.153	0.291	0
"196"	"196"	"CCDS41831.1"	"IFT81"	"chr12"	"intraflagellar transport 81 homolog (Chlamydomonas)"	4	0.00203	0.153	0	0
